profile,proportion
unknown,0.2871698
FD10,0.10460662
DZ,0.038198646
AA,0.034268424
WH,0.034012105
EB,0.029405482
DZ11,0.028650766
LB,0.021829832
LA,0.019202564
GC17,0.018269846
HE,0.018077608
EB14,0.01729441
HD,0.015258099
HE11,0.01513706
AA26,0.01498754
MB,0.014681381
JD07,0.014638661
EB12,0.014140263
WJ,0.013634745
WH52,0.012944108
YQ50,0.012915628
EB10,0.012808829
LB38,0.012794589
SA04,0.012773229
FD,0.01248131
HC,0.012431471
DZ19,0.012410111
EB07,0.012168031
FD02,0.011790673
DZ65,0.011242435
FD11,0.010815237
FD03,0.010501958
LA04,0.010259879
CB,0.010238519
FD05,0.010160199
KC,0.01009612
