code,HRG 1,Code Description
A000,FD01,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A001,FD01,"Cholera due to Vibrio cholerae 01, biovar eltor"
A009,FD01,"Cholera, unspecified"
A010,FD01,Typhoid fever
A011,FD01,Paratyphoid fever A
A012,FD01,Paratyphoid fever B
A013,FD01,Paratyphoid fever C
A014,FD01,"Paratyphoid fever, unspecified"
A020,FD01,Salmonella enteritis
A021,FD01,Salmonella sepsis
A022,FD01,Localized salmonella infections
A028,FD01,Other specified salmonella infections
A029,FD01,"Salmonella infection, unspecified"
A030,FD01,Shigellosis due to Shigella dysenteriae
A031,FD01,Shigellosis due to Shigella flexneri
A032,FD01,Shigellosis due to Shigella boydii
A033,FD01,Shigellosis due to Shigella sonnei
A038,FD01,Other shigellosis
A039,FD01,"Shigellosis, unspecified"
A040,FD01,Enteropathogenic Escherichia coli infection
A041,FD01,Enterotoxigenic Escherichia coli infection
A042,FD01,Enteroinvasive Escherichia coli infection
A043,FD01,Enterohaemorrhagic Escherichia coli infection
A044,FD01,Other intestinal Escherichia coli infections
A045,FD01,Campylobacter enteritis
A046,FD01,Enteritis due to Yersinia enterocolitica
A047,FD01,Enterocolitis due to Clostridium difficile
A048,FD01,Other specified bacterial intestinal infections
A049,FD01,"Bacterial intestinal infection, unspecified"
A050,FD01,Foodborne staphylococcal intoxication
A051,FD01,Botulism
A052,FD01,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053,FD01,Foodborne Vibrio parahaemolyticus intoxication
A054,FD01,Foodborne Bacillus cereus intoxication
A058,FD01,Other specified bacterial foodborne intoxications
A059,FD01,"Bacterial foodborne intoxication, unspecified"
A060,FD01,Acute amoebic dysentery
A061,FD01,Chronic intestinal amoebiasis
A062,FD01,Amoebic nondysenteric colitis
A063,FD01,Amoeboma of intestine
A064,GC17,Amoebic liver abscess
A065,DZ10,Amoebic lung abscess
A066,AA22,Amoebic brain abscess
A067,WJ01,Cutaneous amoebiasis
A068,FD01,Amoebic infection of other sites
A069,FD01,"Amoebiasis, unspecified"
A070,FD01,Balantidiasis
A071,FD01,Giardiasis [lambliasis]
A072,FD01,Cryptosporidiosis
A073,FD01,Isosporiasis
A078,FD01,Other specified protozoal intestinal diseases
A079,FD01,"Protozoal intestinal disease, unspecified"
A080,FD01,Rotaviral enteritis
A081,FD01,Acute gastroenteropathy due to Norwalk agent
A082,FD01,Adenoviral enteritis
A083,FD01,Other viral enteritis
A084,FD01,"Viral intestinal infection, unspecified"
A085,FD01,Other specified intestinal infections
A090,FD01,Other and unspecified gastroenteritis and colitis of infectious origin
A099,FD01,Gastroenteritis and colitis of unspecified origin
A150,DZ51,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A151,DZ51,"Tuberculosis of lung, confirmed by culture only"
A152,DZ51,"Tuberculosis of lung, confirmed histologically"
A153,DZ51,"Tuberculosis of lung, confirmed by unspecified means"
A154,DZ51,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A155,DZ51,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A156,DZ51,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A157,DZ51,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A158,DZ51,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A159,DZ51,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A160,DZ51,"Tuberculosis of lung, bacteriologically and histologically negative"
A161,DZ51,"Tuberculosis of lung, bacteriological and histological examination not done"
A162,DZ51,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A163,DZ51,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A164,DZ51,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A165,DZ51,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A167,DZ51,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A168,DZ51,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A169,DZ51,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A170,DZ51,Tuberculous meningitis
A171,DZ51,Meningeal tuberculoma
A178,DZ51,Other tuberculosis of nervous system
A179,DZ51,"Tuberculosis of nervous system, unspecified"
A180,DZ51,Tuberculosis of bones and joints
A181,DZ51,Tuberculosis of genitourinary system
A182,DZ51,Tuberculous peripheral lymphadenopathy
A183,DZ51,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A184,DZ51,Tuberculosis of skin and subcutaneous tissue
A185,DZ51,Tuberculosis of eye
A186,DZ51,Tuberculosis of ear
A187,DZ51,Tuberculosis of adrenal glands
A188,DZ51,Tuberculosis of other specified organs
A190,DZ51,Acute miliary tuberculosis of a single specified site
A191,DZ51,Acute miliary tuberculosis of multiple sites
A192,DZ51,"Acute miliary tuberculosis, unspecified"
A198,DZ51,Other miliary tuberculosis
A199,DZ51,"Miliary tuberculosis, unspecified"
A200,WJ01,Bubonic plague
A201,WJ01,Cellulocutaneous plague
A202,WJ01,Pneumonic plague
A203,WJ01,Plague meningitis
A207,WJ06,Septicaemic plague
A208,WJ01,Other forms of plague
A209,WJ01,"Plague, unspecified"
A210,WJ01,Ulceroglandular tularaemia
A211,WJ01,Oculoglandular tularaemia
A212,WJ01,Pulmonary tularaemia
A213,WJ01,Gastrointestinal tularaemia
A217,WJ01,Generalized tularaemia
A218,WJ01,Other forms of tularaemia
A219,WJ01,"Tularaemia, unspecified"
A220,WJ01,Cutaneous anthrax
A221,WJ01,Pulmonary anthrax
A222,FD01,Gastrointestinal anthrax
A227,WJ06,Anthrax sepsis
A228,WJ01,Other forms of anthrax
A229,WJ01,"Anthrax, unspecified"
A230,WJ01,Brucellosis due to Brucella melitensis
A231,WJ01,Brucellosis due to Brucella abortus
A232,WJ01,Brucellosis due to Brucella suis
A233,WJ01,Brucellosis due to Brucella canis
A238,WJ01,Other brucellosis
A239,WJ01,"Brucellosis, unspecified"
A240,WJ01,Glanders
A241,WJ01,Acute and fulminating melioidosis
A242,WJ01,Subacute and chronic melioidosis
A243,WJ01,Other melioidosis
A244,WJ01,"Melioidosis, unspecified"
A250,WJ01,Spirillosis
A251,WJ01,Streptobacillosis
A259,WJ01,"Rat-bite fever, unspecified"
A260,WJ03,Cutaneous erysipeloid
A267,WJ06,Erysipelothrix sepsis
A268,WJ03,Other forms of erysipeloid
A269,WJ03,"Erysipeloid, unspecified"
A270,WJ01,Leptospirosis icterohaemorrhagica
A278,WJ01,Other forms of leptospirosis
A279,WJ01,"Leptospirosis, unspecified"
A280,WJ01,Pasteurellosis
A281,WJ01,Cat-scratch disease
A282,WJ01,Extraintestinal yersiniosis
A288,WJ01,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A289,WJ01,"Zoonotic bacterial disease, unspecified"
A300,WJ01,Indeterminate leprosy
A301,WJ01,Tuberculoid leprosy
A302,WJ01,Borderline tuberculoid leprosy
A303,WJ01,Borderline leprosy
A304,WJ01,Borderline lepromatous leprosy
A305,WJ01,Lepromatous leprosy
A308,WJ01,Other forms of leprosy
A309,WJ01,"Leprosy, unspecified"
A310,DZ14,Pulmonary mycobacterial infection
A311,WJ01,Cutaneous mycobacterial infection
A318,WJ01,Other mycobacterial infections
A319,WJ01,"Mycobacterial infection, unspecified"
A320,WJ01,Cutaneous listeriosis
A321,AA22,Listerial meningitis and meningoencephalitis
A327,WJ06,Listerial sepsis
A328,WJ01,Other forms of listeriosis
A329,WJ01,"Listeriosis, unspecified"
A33X,UZ03,Tetanus neonatorum
A34X,NZ18,Obstetrical tetanus
A35X,WJ01,Other tetanus
A360,WJ02,Pharyngeal diphtheria
A361,CB02,Nasopharyngeal diphtheria
A362,CB02,Laryngeal diphtheria
A363,WJ02,Cutaneous diphtheria
A368,WJ02,Other diphtheria
A369,WJ02,"Diphtheria, unspecified"
A370,DZ22,Whooping cough due to Bordetella pertussis
A371,DZ22,Whooping cough due to Bordetella parapertussis
A378,DZ22,Whooping cough due to other Bordetella species
A379,DZ22,"Whooping cough, unspecified"
A38X,WJ03,Scarlet fever
A390,AA22,Meningococcal meningitis
A391,WJ06,Waterhouse-Friderichsen syndrome
A392,WJ06,Acute meningococcaemia
A393,WJ06,Chronic meningococcaemia
A394,WJ06,"Meningococcaemia, unspecified"
A395,EB14,Meningococcal heart disease
A398,AA22,Other meningococcal infections
A399,AA22,"Meningococcal infection, unspecified"
A400,WJ06,"Sepsis due to streptococcus, group A"
A401,WJ06,"Sepsis due to streptococcus, group B"
A402,WJ06,"Sepsis due to streptococcus, group D"
A403,WJ06,Sepsis due to Streptococcus pneumoniae
A408,WJ06,Other streptococcal sepsis
A409,WJ06,"Streptococcal sepsis, unspecified"
A410,WJ06,Sepsis due to Staphylococcus aureus
A411,WJ06,Sepsis due to other specified staphylococcus
A412,WJ06,Sepsis due to unspecified staphylococcus
A413,WJ06,Sepsis due to Haemophilus influenzae
A414,WJ06,Sepsis due to anaerobes
A415,WJ06,Sepsis due to other Gram-negative organisms
A418,WJ06,Other specified sepsis
A419,WJ06,"Sepsis, unspecified"
A420,DZ11,Pulmonary actinomycosis
A421,FD01,Abdominal actinomycosis
A422,WJ01,Cervicofacial actinomycosis
A427,WJ06,Actinomycotic sepsis
A428,WJ01,Other forms of actinomycosis
A429,WJ01,"Actinomycosis, unspecified"
A430,DZ11,Pulmonary nocardiosis
A431,WJ01,Cutaneous nocardiosis
A438,WJ01,Other forms of nocardiosis
A439,WJ01,"Nocardiosis, unspecified"
A440,WJ01,Systemic bartonellosis
A441,WJ01,Cutaneous and mucocutaneous bartonellosis
A448,WJ01,Other forms of bartonellosis
A449,WJ01,"Bartonellosis, unspecified"
A46X,WJ03,Erysipelas
A480,WJ01,Gas gangrene
A481,DZ11,Legionnaires disease
A482,WJ01,Nonpneumonic Legionnaires disease [Pontiac fever]
A483,WJ06,Toxic shock syndrome
A484,WJ01,Brazilian purpuric fever
A488,WJ03,Other specified bacterial diseases
A490,WJ03,"Staphylococcal infection, unspecified site"
A491,WJ03,"Streptococcal and enterococcal infection, unspecified site"
A492,WJ03,"Haemophilus influenzae infection, unspecified site"
A493,WJ03,"Mycoplasma infection, unspecified site"
A498,WJ03,Other bacterial infections of unspecified site
A499,WJ03,"Bacterial infection, unspecified"
A500,WJ04,"Early congenital syphilis, symptomatic"
A501,WJ04,"Early congenital syphilis, latent"
A502,WJ04,"Early congenital syphilis, unspecified"
A503,BZ24,Late congenital syphilitic oculopathy
A504,AA22,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,WJ04,"Other late congenital syphilis, symptomatic"
A506,WJ04,"Late congenital syphilis, latent"
A507,WJ04,"Late congenital syphilis, unspecified"
A509,WJ04,"Congenital syphilis, unspecified"
A510,WJ04,Primary genital syphilis
