profile,ate_days,se,variance,ci_low,ci_high
HE11,7.448153780174968,0.19801026513652695,0.0392080650994377,7.060060791938149,7.836246768411787
unknown,3.345128500286811,0.1641151101354149,0.026933769374759366,3.0224763186548875,3.6667882054710486
HE,0.7822327346278585,0.25749561734206333,0.0663039929503703,0.2772163065065367,1.2869148707952098
DZ11,0.42040177514085875,0.2229613405418985,0.049711759376240436,-0.01761172028316027,0.8573979725477501
EB10,0.24627199346763523,0.18865642407702538,0.03559124634553044,-0.1234878031754496,0.6160317901107201
WJ,-0.03315573683939348,0.30640315216657393,0.09388289165761265,-0.6341044298805327,0.5673835204145321
FD11,-0.15106963828939524,0.18326264441501208,0.03358519683798316,-0.5102578210543893,0.2081185444755989
WH,-0.7706020281709562,0.3082398099830616,0.09501178045839392,-1.3732443410327109,-0.16646310200268566
HD,-0.771136412057974,0.33356436665926886,0.11126518670479915,-1.4135204291878698,-0.11736227377917374
AA,-0.8750198942399044,0.24463393518549187,0.059845762244339434,-1.3544935965997744,-0.3955461918800345
KC,-1.2329424578283732,0.166828653996004,0.02783179979411842,-1.5599206112498352,-0.9059643044069111
LA,-1.2460059606585854,0.2652232548136582,0.07034337489395068,-1.7707100142015921,-0.7261779333613257
AA26,-1.2852843620156271,0.2800243386169648,0.07841363021786857,-1.8616085804376288,-0.7364467247865045
DZ,-1.3372715707876097,0.2170091764145622,0.04709298264812657,-1.7743143486368007,-0.9119414007003688
YQ50,-1.353844405886719,0.2432669984495094,0.0591788325346336,-1.8306389614749188,-0.8770498502985193
HC,-1.397665867244909,0.26887685715147114,0.07229476431165262,-1.937772063896817,-0.870677018082752
EB,-1.4319184446722768,0.20596185538660972,0.042420285874294736,-1.8470549734855572,-1.0282406293773452
GC17,-1.447975714159542,0.23761333050918365,0.056460094835666545,-1.9116133992478255,-0.9822621520638908
LA04,-1.510058449000807,0.237270704933992,0.056297387419873494,-1.9861670116413248,-1.0450165351166385
EB14,-1.795140240300399,0.16219516235117934,0.026307270690125423,-2.1086926851187022,-1.4772436102387294
JD07,-1.9286945780328115,0.23415220859761532,0.05482725679114116,-2.3876244737846477,-1.4697646822809756
FD10,-1.9478599550169147,0.24159183940034715,0.05836661686484313,-2.4292672214868016,-1.4743486983709546
FD,-2.6520900616848904,0.22992123235903614,0.052863773089497884,-3.1027273963896667,-2.2014527269801145
LB,-2.800034011362401,0.1789441809528046,0.032021019896870076,-3.1472398704313704,-2.4493099255743953
FD02,-2.8883326104681784,0.1292307545805612,0.016700587929461243,-3.140576097487916,-2.6350449857953437
EB07,-3.049647957549227,0.19465088700274297,0.03788896781095461,-3.4353013034089157,-2.668139229465075
MB,-3.361171338293981,0.13118646275455567,0.017209888010052424,-3.6182920805521155,-3.1040505960358464
CB,-3.367030588928917,0.21257686600818754,0.045188923961862915,-3.788736538912526,-2.9503874897616655
DZ65,-3.5565400954276782,0.13341485609727238,0.017799523827455897,-3.8180284083809264,-3.29505178247443
LB38,-3.559803258232364,0.1731339539134425,0.02997536599770203,-3.8991395724037283,-3.220466944060999
FD03,-3.904091860389199,0.1923280943914297,0.03699009589223869,-4.262415098310802,-3.527136066797774
SA04,-4.198117378284655,0.16156367428935853,0.02610282084987793,-4.514776361101757,-3.8814583954675523
DZ19,-4.577994273294511,0.11516020952615366,0.013261873858107613,-4.803704136417857,-4.352284410171164
FD05,-5.676742976782933,0.0872968535915131,0.007620740646978073,-5.847841665785964,-5.5056442877799014
EB12,-5.680784540357898,0.09594605495556985,0.009205645461537229,-5.868835352529515,-5.4927337281862805
WH52,-7.015960853477339,0.05455382924877808,0.002976120285704835,-7.122884394023691,-6.909037312930987
