,shortage_point,cost_point,shortage_scenarios,shrt_std,cost_scenarios,cost_std,vss_mean,vss_std,vss_err,short_percent_reduc,cost_percent_reduc,shrt_error,cst_error
1.0,9.05952380952381,6482.777777777777,3.711904761904762,3.779929168426996,5601.666666666667,1146.1738332021869,37006.666666666664,31036.362803845976,9386.468912493703,59.027595269382395,13.591567400805543,0.20871538365887526,63.28798786356898
1.2,9.007936507936508,6485.714285714285,3.9095238095238094,3.915883392502146,5630.793650793651,1176.3236190905068,35906.666666666664,30280.344521947172,9157.822851575746,56.59911894273127,13.1815956926089,0.21622233333266982,64.95276089198325
1.4,9.011111111111111,6485.873015873016,4.096031746031746,4.025867526352303,5662.619047619048,1198.9502150065377,34576.666666666664,29993.25997083613,9070.998559976502,54.544653866478775,12.693032475955066,0.22229529916617444,66.2021278608024
1.6,9.013492063492064,6485.6349206349205,4.26031746031746,4.080077701861749,5681.428571428572,1208.4969982974333,33776.666666666664,29910.379738344247,9045.932712838998,52.73399665404597,12.399809101922438,0.22528860858429178,66.7292701559308
1.8,9.053968253968254,6494.285714285715,4.481746031746032,4.273473247498469,5721.349206349207,1248.9664373058415,32463.333333333332,29748.978346216834,8997.119352871141,50.499649368863956,11.901794006941389,0.23596728104266565,68.96386083547372
2.0,9.088888888888889,6501.746031746032,4.652380952380953,4.43053729568653,5741.428571428572,1276.1568062971264,31933.333333333332,29538.068170826064,8933.332825527521,48.81243450925602,11.694050438221721,0.24463984648394593,70.46522449679442
3.0,9.38015873015873,6560.396825396825,5.85,5.0718937719236115,5928.015873015873,1416.4866760129134,26560.0,26562.30930966035,8033.360486051312,37.63431762416448,9.639370440715693,0.28005346325699054,78.21378307857307
5.0,11.02936507936508,6909.920634920635,9.021428571428572,7.078052387383665,6507.063492063492,1896.3631291212598,16920.0,20387.71435329925,6165.949540657224,18.20536806505001,5.830126916671456,0.3908270112387244,104.71099864969156
10.0,23.583492063492063,9859.492063492064,22.832698412698413,14.022499021674589,9647.587301587302,3734.5996470500672,8900.0,9092.51302465101,2749.890229784103,3.183555890587978,2.149246234391799,0.7742767477261896,206.2124350522494
15.0,43.45460317460318,14848.285714285714,42.40507936507937,19.642641516867773,14533.746031746032,5258.345575181448,13210.666666666666,15491.163873670677,4685.063421817479,2.41521894770679,2.118356883697756,1.0846027207364028,290.348724865568
20.0,64.41634920634921,20221.4126984127,63.66476190476191,20.6500643872275,19995.93650793651,5578.4732051140345,9470.0,12047.760988149881,3643.659364827693,1.1667648211165922,1.1150367871869298,1.1402293321158317,308.02513046048847
