pscore,model,method,specialty,horizon_range
5.082454871022169,lgb,Single,adm_general_medicine,1-7
3.880908684625308,lgb,Single,adm_general_medicine,1-7
4.400684851151314,lgb,Single,adm_general_medicine,1-7
6.973989569493382,lgb,Single,adm_general_medicine,1-7
4.571872260378828,lgb,Single,adm_general_medicine,1-7
5.5656947318394785,lgb,Single,adm_general_medicine,1-7
5.144642854076065,lgb,Single,adm_general_medicine,1-7
13.906962396940484,lgb,Single,adm_general_medicine,1-7
5.682978963796695,lgb,Single,adm_general_medicine,1-7
14.17829014440075,lgb,Single,adm_general_medicine,1-7
10.14703258924386,lgb,Single,adm_general_medicine,1-7
8.56847457549867,lgb,Single,adm_general_medicine,1-7
4.45760726883385,lgb,Single,adm_general_medicine,1-7
3.936383738778978,lgb,Single,adm_general_medicine,1-7
3.779989659427744,lgb,Single,adm_general_medicine,1-7
3.496178392232374,lgb,Single,adm_general_medicine,1-7
4.8328531679489,lgb,Single,adm_general_medicine,1-7
4.287987223175412,lgb,Single,adm_general_medicine,1-7
6.541966642682114,lgb,Single,adm_general_medicine,1-7
4.009419110000365,lgb,Single,adm_general_medicine,1-7
4.829593303553733,lgb,Single,adm_general_medicine,1-7
3.9907779339746705,lgb,Single,adm_general_medicine,1-7
6.113937665863615,lgb,Single,adm_general_medicine,1-7
5.6401020482096085,lgb,Single,adm_general_medicine,1-7
7.06948286755862,lgb,Single,adm_general_medicine,1-7
8.195057616178946,lgb,Single,adm_general_medicine,1-7
4.203817139239345,lgb,Single,adm_general_medicine,1-7
8.060997785346101,lgb,Single,adm_general_medicine,1-7
10.911270302406155,lgb,Single,adm_general_medicine,1-7
6.987677463966993,lgb,Single,adm_general_medicine,1-7
4.903450577462946,lgb,Multi,adm_general_medicine,1-7
3.968069084776424,lgb,Multi,adm_general_medicine,1-7
5.1179418413424385,lgb,Multi,adm_general_medicine,1-7
6.065479061048657,lgb,Multi,adm_general_medicine,1-7
4.728735761786519,lgb,Multi,adm_general_medicine,1-7
6.909707242839211,lgb,Multi,adm_general_medicine,1-7
5.135776330138411,lgb,Multi,adm_general_medicine,1-7
9.024626992518563,lgb,Multi,adm_general_medicine,1-7
6.176705235524435,lgb,Multi,adm_general_medicine,1-7
9.777065728267898,lgb,Multi,adm_general_medicine,1-7
5.223931709119414,lgb,Multi,adm_general_medicine,1-7
7.763117856883312,lgb,Multi,adm_general_medicine,1-7
3.933217889200834,lgb,Multi,adm_general_medicine,1-7
4.3442657363520185,lgb,Multi,adm_general_medicine,1-7
5.41162548683382,lgb,Multi,adm_general_medicine,1-7
3.1554939819544248,lgb,Multi,adm_general_medicine,1-7
5.638523340818703,lgb,Multi,adm_general_medicine,1-7
3.893312057636192,lgb,Multi,adm_general_medicine,1-7
4.387614881469406,lgb,Multi,adm_general_medicine,1-7
3.8061974335728843,lgb,Multi,adm_general_medicine,1-7
4.5558232427414875,lgb,Multi,adm_general_medicine,1-7
3.8267020676543817,lgb,Multi,adm_general_medicine,1-7
5.898497737772514,lgb,Multi,adm_general_medicine,1-7
6.56991594968887,lgb,Multi,adm_general_medicine,1-7
6.853473214376564,lgb,Multi,adm_general_medicine,1-7
8.994679811266442,lgb,Multi,adm_general_medicine,1-7
3.704340347595199,lgb,Multi,adm_general_medicine,1-7
7.897666303716621,lgb,Multi,adm_general_medicine,1-7
6.011613945382559,lgb,Multi,adm_general_medicine,1-7
7.219737445145943,lgb,Multi,adm_general_medicine,1-7
5.34061579630707,lgb,Single,adm_general_medicine,8-14
4.4076934546157185,lgb,Single,adm_general_medicine,8-14
5.6739467469021685,lgb,Single,adm_general_medicine,8-14
7.45740459572012,lgb,Single,adm_general_medicine,8-14
9.197002690077005,lgb,Single,adm_general_medicine,8-14
4.040811162549101,lgb,Single,adm_general_medicine,8-14
5.103112585901158,lgb,Single,adm_general_medicine,8-14
3.643264319369276,lgb,Single,adm_general_medicine,8-14
6.594734035610129,lgb,Single,adm_general_medicine,8-14
5.881813513375791,lgb,Single,adm_general_medicine,8-14
6.16374642642723,lgb,Single,adm_general_medicine,8-14
4.7926743772568186,lgb,Single,adm_general_medicine,8-14
5.273640426894965,lgb,Single,adm_general_medicine,8-14
3.7156985818358117,lgb,Single,adm_general_medicine,8-14
5.452819650688325,lgb,Single,adm_general_medicine,8-14
4.030822515518438,lgb,Single,adm_general_medicine,8-14
8.775720797175607,lgb,Single,adm_general_medicine,8-14
5.039032942367991,lgb,Single,adm_general_medicine,8-14
