series,RMSSE_sing,RMSSE_multi,model,improvement_pct
adm_general_medicine,0.5745409757175891,0.5589630733393915,lgb,2.7113649046077355
adm_haematology_clinical,0.38075550658868146,0.26749643651766813,lgb,29.745878420968875
adm_endoscopy,0.8006368562306697,0.742091075559434,lgb,7.312401398414793
adm_other,0.5685124981282805,0.5269287671209854,lgb,7.3144796542207455
adm_general_surgery,0.5506313750690351,0.4889975610992291,lgb,11.193298595104345
adm_trauma_orthopaedics,0.6067046407211538,0.5706448788708577,lgb,5.9435447547317315
adm_ophthalmology,0.7433170458179864,0.596739801218785,lgb,19.71934390901797
adm_cardiology,0.4550170294482031,0.4174801851965026,lgb,8.249547120735516
adm_urology,0.4199686197608793,0.3823604290231129,lgb,8.955000199581495
adm_thoracic_medicine,0.7647363909655212,0.7558854152278864,lgb,1.1573891137127499
adm_gastroenterology,0.5752075525668676,0.4984939990704571,lgb,13.336673545762004
adm_dermatology,0.38287066840493517,0.32925578613101814,lgb,14.003392450322774
adm_gynaecology,0.5529991666980718,0.5523121270187163,lgb,0.12423882724050708
adm_neurology,0.4691920893296338,0.3997811131314396,lgb,14.793722608871414
adm_gastroenterology_nurses,0.4880547381572621,0.47905455028978905,lgb,1.8440939435307706
adm_geriatric_medicine,0.8218471891656036,0.8129073250570864,lgb,1.087776928165148
adm_gen_med_endoscopy_nurse,0.48140671247847294,0.4460774163735023,lgb,7.33876266973541
adm_ear_nose_and_throat,0.6451900343736869,0.6272204727546795,lgb,2.7851579630257666
adm_nephrology,0.6632884197237229,0.6277142220973437,lgb,5.363307509755219
adm_neurosurgery,0.6583889933824771,0.651078866140928,lgb,1.1103052017916177
adm_renal_surgery,0.6176086354372267,0.6020819677672109,lgb,2.513997826313405
adm_mental_illness,0.5215418691710282,0.5132757484494949,lgb,1.5849390451953587
adm_vascular_surgery,0.7256102162899549,0.7351569064704876,lgb,-1.3156774761723857
adm_rheumatology,0.7882696075984686,0.7760900073611723,lgb,1.5451059028398373
adm_oral_surgery,0.5881593225371504,0.5930126382644466,lgb,-0.8251702457695276
adm_teenage_cancer_trust_unit,0.4498992372083677,0.41512456003425624,lgb,7.729436793422663
adm_obstetrics,0.9137616156094652,0.8894330939743601,lgb,2.6624582625828914
adm_rehabilitation,0.5068048033734266,0.5018480882047773,lgb,0.9780323974153473
adm_intensivist,0.740334490683468,0.7362439856462616,lgb,0.5525212034130844
dis_general_medicine,0.49490218968963773,0.4516350527834912,lgb,8.742563239269591
dis_haematology_clinical,0.3726913248484275,0.2601833297274416,lgb,30.187983357740496
dis_endoscopy,0.7996355317507166,0.7437870727464632,lgb,6.984239292366006
dis_other,0.5643707951835121,0.5030354592974984,lgb,10.86791457131827
dis_general_surgery,0.544134397108395,0.4970355065729858,lgb,8.655745857218207
dis_trauma_orthopaedics,0.5865363346470605,0.5454231370161872,lgb,7.009488620276619
dis_ophthalmology,0.7604918959977908,0.6033490960581431,lgb,20.66331025572219
dis_cardiology,0.4372549883022188,0.3868946808651869,lgb,11.517377453501851
dis_urology,0.42796702492435046,0.3903272463921414,lgb,8.795018386956906
dis_thoracic_medicine,0.669649259740242,0.6229027231578016,lgb,6.980749385218986
dis_gastroenterology,0.5354855109243798,0.45897949992723136,lgb,14.287223358309028
dis_dermatology,0.3881237929544369,0.3293708075102951,lgb,15.137692280318142
dis_gynaecology,0.6019682201292368,0.5909173803840876,lgb,1.835784577261685
dis_neurology,0.4465990388888478,0.37703941306471855,lgb,15.57540875976709
dis_gastroenterology_nurses,0.4861551729658783,0.47856419540953443,lgb,1.5614309953823418
dis_geriatric_medicine,0.7726802833941308,0.7447616839898938,lgb,3.613214935626372
dis_gen_med_endoscopy_nurse,0.5100876944767377,0.4496940045603715,lgb,11.839864119505917
dis_ear_nose_and_throat,0.6876208596748773,0.6722359376689808,lgb,2.2374135091205365
dis_nephrology,0.6094312708117081,0.5691787617777588,lgb,6.604930032608356
dis_neurosurgery,0.680441276039976,0.6456487341525884,lgb,5.11323212046641
